,year,sumrecords,tempmean
3,1993,903,16.57907219
4,1994,659,17.59268435
5,1995,754,17.39345805
6,1996,918,16.51663128
7,1997,1167,16.21349561
8,1998,2073,17.45406226
9,1999,1167,16.399451
10,2000,2002,17.75155369
11,2001,1257,16.93607884
12,2002,1542,17.98992772
13,2003,1190,16.70635925
14,2004,1670,18.18693731
15,2005,1112,16.05009238
16,2006,1314,17.00370442
17,2007,1452,17.49356422
18,2008,1427,17.48895649
19,2009,2081,17.4286914
20,2010,2527,18.63773891
21,2011,1197,18.02757379
22,2012,1928,18.33743276
23,2013,1431,15.94515359
24,2014,1938,16.43994628
25,2015,1549,17.69876799
26,2016,1614,17.69178557
27,2017,2743,17.8282451
28,2018,2183,17.16616313
29,2019,1677,17.92767541
30,2020,3125,17.34286796
