family,subfamily,genus,Cname,species,voltinism,voltinismnotes,diettype,dietbreadth,dietnotes,migratory,overwinter
Nymphalidae,Nymphalinae,Vanessa,American Lady,Vanessa virginiensis,3.5,3 to 4,herb,family,vague,no,adults
Nymphalidae,Libytheinae,Libytheana,American Snout,Libytheana carinenta,2,apparently two,woody,genus,NA,no,adults
Nymphalidae,Satyrinae,Lethe,Appalachian Brown,Lethe appalachia,2,2,herb,family,NA,no,larvae
Papilionidae,Papilioninae,Papilio,Black Swallowtail,Papilio polyxenes,3,apparently three,herb,family,NA,no,pupae
Pieridae,Pierinae,Pieris,Cabbage White,Pieris rapae,4,more than five,herb,family,NA,no,pupae
Nymphalidae,Satyrinae,Hermeuptychia,Carolina Satyr,Hermeuptychia sosybius,3,apparently three,herb,family,NA,no,larvae
Hesperiidae,Hesperiinae,Lerema,Clouded Skipper,Lerema accius,1,seemingly one,herb,family,NA,no,NA
Pieridae,Coliadinae,Phoebis,Cloudless Sulphur,Phoebis sennae,2.5,2 to 3,herb,family,Fabaceae,yes,adults
Nymphalidae,Nymphalinae,Junonia,Common Buckeye,Junonia coenia,3,at least three,herb,multifamily,NA,no,larvaeadults
Hesperiidae,Pyrginae,Pyrgus,Common Checkered-Skipper,Pyrgus communis,3,apparently three,herb,family,vague,no,larvae
Hesperiidae,Hesperiinae,Polites,Crossline Skipper,Polites origenes,2,2,herb,family,NA,no,larvae
Hesperiidae,Hesperiinae,Euphyes,Dun Skipper,Euphyes vestris,2,2,herb,family,NA,no,larvae
Nymphalidae,Nymphalinae,Polygonia,Eastern Comma,Polygonia comma,2,2,both,multifamily,NA,no,adults
Lycaenidae,Polyommatinae,Cupido,Eastern Tailed-Blue,Cupido comyntas,4,probably four or five,herb,family,NA,no,larvae
Papilionidae,Papilioninae,Papilio,Eastern Tiger Swallowtail,Papilio glaucus,2.5,"two, possibly three",woody,multifamily,NA,no,pupae
Pieridae,Pierinae,Anthocharis,Falcate Orangetip,Anthocharis midea,1,1,herb,family,NA,no,pupae
Hesperiidae,Hesperiinae,Hylephila,Fiery Skipper,Hylephila phyleus,3,probably three,herb,family,NA,no,NA
Nymphalidae,Satyrinae,Cyllopsis,Gemmed Satyr,Cyllopsis gemma,3,3,herb,family,NA,no,larvae
Lycaenidae,Theclinae,Strymon,Gray Hairstreak,Strymon melinus,3,at least three,both,multifamily,NA,no,pupae
Nymphalidae,Heliconiinae,Speyeria,Great Spangled Fritillary,Speyeria cybele,1,1,herb,genus,NA,no,larvae
Nymphalidae,Apaturinae,Asterocampa,Hackberry Emperor,Asterocampa celtis,3,3,woody,genus,NA,no,larvae
Hesperiidae,Pyrginae,Erynnis,Horace's Duskywing,Erynnis horatius,3,probably three,woody,genus,NA,no,larvae
Hesperiidae,Pyrginae,Erynnis,Juvenal's Duskywing,Erynnis juvenalis,1,1,woody,genus,NA,no,larvae
Hesperiidae,Hesperiinae,Ancyloxypha,Least Skipper,Ancyloxypha numitor,3,3,herb,family,NA,no,larvae
Hesperiidae,Hesperiinae,Pompeius,Little Glassywing,Pompeius verna,2,2,herb,species,vague,no,larvae
Nymphalidae,Satyrinae,Megisto,Little Wood-Satyr,Megisto cymela,1,seemingly one,herb,family,NA,no,larvae
Nymphalidae,Danainae,Danaus,Monarch,Danaus plexippus,2,complicated life history,herb,multifamily,NA,yes,adults
Nymphalidae,Satyrinae,Lethe,Northern Pearly-Eye,Lethe anthedon,3,apparently three,herb,family,NA,no,larvae
Hesperiidae,Hesperiinae,Panoquina,Ocola Skipper,Panoquina ocola,2,presumably two,herb,family,vague,no,NA
Pieridae,Coliadinae,Colias,Orange Sulphur,Colias eurytheme,4,possibly four or five,herb,family,NA,no,pupae
Nymphalidae,Nymphalinae,Phyciodes,Pearl Crescent,Phyciodes tharos,4,"many, four or five",herb,family,vague,no,larvae
Papilionidae,Papilioninae,Battus,Pipevine Swallowtail,Battus philenor,3,probably three,herb,genus,NA,no,pupae
Nymphalidae,Nymphalinae,Polygonia,Question Mark,Polygonia interrogationis,2,2,both,multifamily,NA,no,adults
Nymphalidae,Nymphalinae,Vanessa,Red Admiral,Vanessa atalanta,3,probably three,herb,family,vague,no,adults
Lycaenidae,Theclinae,Calycopis,Red-banded Hairstreak,Calycopis cecrops,2,supposedly two,woody,multifamily,NA,no,pupaelarvae
Nymphalidae,Limenitidinae,Limenitis,Red-spotted Purple,Limenitis arthemis astyanax,3,apparently three,woody,multifamily,vague,no,larvae
Hesperiidae,Hesperiinae,Atalopedes,Sachem,Atalopedes campestris,3,3?,herb,family,NA,no,adults
Hesperiidae,Eudaminae,Epargyreus,Silver-Spotted Skipper,Epargyreus clarus,2.5,"two, probably three",both,family,NA,no,pupae
Nymphalidae,Nymphalinae,Chlosyne,Silvery Checkerspot,Chlosyne nycteis,3,3,herb,family,NA,no,larvae
Pieridae,Coliadinae,Abaeis,Sleepy Orange,Abaeis nicippe,3,3+,both,genus,NA,no,adults
Hesperiidae,Hesperiinae,Wallengrenia,Southern Broken-Dash,Wallengrenia otho,2,2,herb,family,NA,no,NA
Hesperiidae,Eudaminae,Thorybes,Southern Cloudywing,Thorybes bathyllus,2,2,herb,family,NA,no,larvae
Papilionidae,Papilioninae,Papilio,Spicebush Swallowtail,Papilio troilus,2,"apparently two, possible third",woody,family,twospecies,no,pupae
Lycaenidae,Polyommatinae,Celastrina,Spring Azure,Celastrina ladon,1,1,both,multifamily,vague,no,pupae
Lycaenidae,Polyommatinae,Celastrina,Summer Azure,Celastrina neglecta,3,3 to 4,both,multifamily,NA,no,pupae
Hesperiidae,Hesperiinae,Nastra,Swarthy Skipper,Nastra lherminier,2,2,herb,species,vague,no,NA
Nymphalidae,Heliconiinae,Euptoieta,Variegated Fritillary,Euptoieta claudia,3,"three, possibly four",herb,multifamily,NA,no,adults
Nymphalidae,Limenitidinae,Limenitis,Viceroy,Limenitis archippus,3,probably three,woody,genus,vague,no,larvae
Papilionidae,Papilioninae,Eurytides,Zebra Swallowtail,Eurytides marcellus,3,apparently three,woody,genus,twospecies,no,pupae
