"","county","year","temp"
"1","WAKE",1990,17.8428837855657
"2","DURHAM",1990,17.3928031200586
"3","ORANGE",1990,17.413652451312
"4","WAKE",1991,18.7663182947371
"5","DURHAM",1991,18.4805532111678
"6","ORANGE",1991,18.5563983956321
"7","WAKE",1992,15.938278519918
"8","DURHAM",1992,15.7555472739907
"9","ORANGE",1992,15.8265006620376
"10","WAKE",1993,16.7144848997631
"11","DURHAM",1993,16.4449891129205
"12","ORANGE",1993,16.5777425609651
"13","WAKE",1994,17.740645683001
"14","DURHAM",1994,17.4657508051673
"15","ORANGE",1994,17.5716565554259
"16","WAKE",1995,17.4510206551779
"17","DURHAM",1995,17.3083322048187
"18","ORANGE",1995,17.4210212816958
"19","WAKE",1996,16.7049472265773
"20","DURHAM",1996,16.426244971364
"21","ORANGE",1996,16.4187016291697
"22","WAKE",1997,16.3659888297792
"23","DURHAM",1997,16.114419382672
"24","ORANGE",1997,16.1600786193472
"25","WAKE",1998,17.7350484681508
"26","DURHAM",1998,17.2510473173718
"27","ORANGE",1998,17.3760909838755
"28","WAKE",1999,16.6192448158113
"29","DURHAM",1999,16.2248902182246
"30","ORANGE",1999,16.3542179533693
"31","WAKE",2000,18.007961180475
"32","DURHAM",2000,17.526186771171
"33","ORANGE",2000,17.7205131132095
"34","WAKE",2001,17.1284511865131
"35","DURHAM",2001,16.7949484586716
"36","ORANGE",2001,16.8848368652531
"37","WAKE",2002,18.2858064477406
"38","DURHAM",2002,17.8054717585098
"39","ORANGE",2002,17.8785049446294
"40","WAKE",2003,17.0116654956152
"41","DURHAM",2003,16.5178786765697
"42","ORANGE",2003,16.5895335830626
"43","WAKE",2004,18.4704135826656
"44","DURHAM",2004,18.0316926213198
"45","ORANGE",2004,18.0587057363792
"46","WAKE",2005,16.3089074776286
"47","DURHAM",2005,15.8979426178821
"48","ORANGE",2005,15.9434270370202
"49","WAKE",2006,17.201084129394
"50","DURHAM",2006,16.8334135787432
"51","ORANGE",2006,16.9766155500881
"52","WAKE",2007,17.7130940849819
"53","DURHAM",2007,17.3749543234359
"54","ORANGE",2007,17.3926442412079
"55","WAKE",2008,17.8262508502082
"56","DURHAM",2008,17.2968554829442
"57","ORANGE",2008,17.3437631403814
"58","WAKE",2009,17.8343857999832
"59","DURHAM",2009,17.2086752569953
"60","ORANGE",2009,17.2430131318139
"61","WAKE",2010,18.9982270759249
"62","DURHAM",2010,18.367710163427
"63","ORANGE",2010,18.5472794986162
"64","WAKE",2011,18.2261655198203
"65","DURHAM",2011,17.9678787575212
"66","ORANGE",2011,17.8886771006662
"67","WAKE",2012,18.510475092464
"68","DURHAM",2012,18.2353961301404
"69","ORANGE",2012,18.2664270674596
"70","WAKE",2013,16.1542884281703
"71","DURHAM",2013,15.8563437461853
"72","ORANGE",2013,15.8248286012743
"73","WAKE",2014,16.6873480223474
"74","DURHAM",2014,16.2268671102302
"75","ORANGE",2014,16.4056236958895
"76","WAKE",2015,17.9041912820604
"77","DURHAM",2015,17.4610298761102
"78","ORANGE",2015,17.7310828263642
"79","WAKE",2016,17.8604611801723
"80","DURHAM",2016,17.5073496352795
"81","ORANGE",2016,17.7075458823657
"82","WAKE",2017,18.0409909354316
"83","DURHAM",2017,17.7681984956874
"84","ORANGE",2017,17.6755458722349
"85","WAKE",2018,17.2957011820778
"86","DURHAM",2018,17.1563612416733
"87","ORANGE",2018,17.0464269743591
"88","WAKE",2019,18.1034175592756
"89","DURHAM",2019,17.8965200074883
"90","ORANGE",2019,17.7830886586768
"91","WAKE",2020,17.4584241556743
"92","DURHAM",2020,17.3501396123753
"93","ORANGE",2020,17.2200401063825
